Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty_like,131072.0,1783598303443413.561	,1783598303507896.926	,1783598303507896.255	,64483.365	,64482.694	,3472.5009765625,9626.0,3472.5009765625,4362.5009765625,9626.0,4362.5009765625,61,NPU:3
aten::zero_,0.5,1783598303443417.517	,1783598303443422.615	,1783598303443421.984	,5.098	,4.467	,3472.50146484375,9626.0,3472.50146484375,3472.5009765625,9626.0,3472.5009765625,61,NPU:3
aten::empty,0.5,1783598303503703.278	,1783598303503876.348	,1783598303503875.557	,173.070	,172.279	,2692.50146484375,9626.0,2692.50146484375,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::random_,0.5,1783598303503742.187	,1783598303503775.767	,1783598303503775.346	,33.580	,33.159	,2692.501953125,9626.0,2692.501953125,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::clamp,0.5,1783598303503837.640	,1783598303506116.186	,1783598303506115.365	,2278.546	,2277.725	,2692.501953125,9626.0,2692.501953125,3716.501953125,9626.0,3716.501953125,61,NPU:3
aten::clamp,16384.5,1783598303503842.307	,1783598303503872.372	,1783598303503871.841	,30.065	,29.534	,2708.50244140625,9626.0,2708.50244140625,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::empty_strided,0.5,1783598303504028.456	,1783598303504572.331	,1783598303504571.780	,543.875	,543.324	,2692.501953125,9626.0,2692.501953125,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::cumsum,0.5,1783598303504248.476	,1783598303504472.171	,1783598303504471.480	,223.695	,223.004	,2692.50244140625,9626.0,2692.50244140625,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::cumsum,16385.0,1783598303504252.842	,1783598303504282.507	,1783598303504281.896	,29.665	,29.054	,2708.50341796875,9626.0,2708.50341796875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::empty,0.5,1783598303504409.337	,1783598303504570.569	,1783598303504569.597	,161.232	,160.260	,2692.5029296875,9626.0,2692.5029296875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::copy_,16384.5,1783598303504437.820	,1783598303504467.384	,1783598303504466.953	,29.564	,29.133	,2708.50341796875,9626.0,2708.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::cat,0.5,1783598303504534.324	,1783598303571806.100	,1783598303571805.509	,67271.776	,67271.185	,2692.5029296875,9626.0,2692.5029296875,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::cat,16384.5,1783598303504537.659	,1783598303504566.603	,1783598303504566.192	,28.944	,28.533	,2708.50341796875,9626.0,2708.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::empty_strided,0.5,1783598303504721.515	,1783598303505226.622	,1783598303505226.202	,505.107	,504.687	,2692.50244140625,9626.0,2692.50244140625,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::cumsum,0.5,1783598303504910.338	,1783598303505122.536	,1783598303505121.565	,212.198	,211.227	,2692.5029296875,9626.0,2692.5029296875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::cumsum,16385.0,1783598303504913.403	,1783598303504943.067	,1783598303504942.656	,29.664	,29.253	,2708.50390625,9626.0,2708.50390625,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::empty,0.5,1783598303505059.071	,1783598303505224.970	,1783598303505224.109	,165.899	,165.038	,2692.50341796875,9626.0,2692.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::copy_,16384.5,1783598303505089.527	,1783598303505119.622	,1783598303505119.071	,30.095	,29.544	,2708.50390625,9626.0,2708.50390625,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
aten::cat,0.5,1783598303505189.577	,1783598303571808.504	,1783598303571807.732	,66618.927	,66618.155	,2692.50341796875,9626.0,2692.50341796875,2692.5009765625,9626.0,2692.5009765625,61,NPU:3
aten::cat,16384.5,1783598303505192.281	,1783598303505221.675	,1783598303505221.294	,29.394	,29.013	,2708.50390625,9626.0,2708.50390625,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
aten::empty,393216.0,1783598303505608.325	,1783598303571797.647	,1783598303571796.466	,66189.322	,66188.141	,3076.50244140625,9626.0,3076.50244140625,3332.501953125,9626.0,3332.501953125,61,NPU:3
aten::normal_,3145730.0,1783598303505642.877	,1783598303505674.474	,1783598303505673.993	,31.597	,31.116	,6148.50439453125,9626.0,6148.50439453125,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
aten::empty,131072.0,1783598303505760.763	,1783598303571799.801	,1783598303571799.260	,66039.038	,66038.497	,3204.50244140625,9626.0,3204.50244140625,3204.501953125,9626.0,3204.501953125,61,NPU:3
aten::normal_,1048578.0,1783598303505792.931	,1783598303505825.310	,1783598303505824.699	,32.379	,31.768	,4228.50439453125,9626.0,4228.50439453125,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
aten::empty,131072.0,1783598303505909.666	,1783598303571801.683	,1783598303571801.153	,65892.017	,65891.487	,3332.50244140625,9626.0,3332.50244140625,3076.501953125,9626.0,3076.501953125,61,NPU:3
aten::normal_,1048578.0,1783598303505939.311	,1783598303505968.755	,1783598303505968.345	,29.444	,29.034	,4356.50439453125,9626.0,4356.50439453125,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
aten::empty,393216.0,1783598303506053.061	,1783598303571803.767	,1783598303571803.106	,65750.706	,65750.045	,3716.50244140625,9626.0,3716.50244140625,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::normal_,3145730.0,1783598303506083.277	,1783598303506112.481	,1783598303506111.940	,29.204	,28.663	,6788.50439453125,9626.0,6788.50439453125,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
aten::empty_strided,393216.0,1783598303506227.413	,1783598303573813.300	,1783598303573812.819	,67585.887	,67585.406	,3076.5009765625,9626.0,3076.5009765625,3210.5009765625,9626.0,3210.5009765625,61,NPU:3
aten::copy_,0.5,1783598303506256.466	,1783598303506285.450	,1783598303506284.729	,28.984	,28.263	,3076.50146484375,9626.0,3076.50146484375,3076.5009765625,9626.0,3076.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303506423.697	,1783598303573808.813	,1783598303573808.312	,67385.116	,67384.615	,3204.5009765625,9626.0,3204.5009765625,3978.5009765625,9626.0,3978.5009765625,61,NPU:3
aten::copy_,0.5,1783598303506450.588	,1783598303506479.451	,1783598303506478.730	,28.863	,28.142	,3204.50146484375,9626.0,3204.50146484375,3204.5009765625,9626.0,3204.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303506608.594	,1783598303573803.865	,1783598303573803.144	,67195.271	,67194.550	,3332.5009765625,9626.0,3332.5009765625,4234.5009765625,9626.0,4234.5009765625,61,NPU:3
aten::copy_,0.5,1783598303506634.834	,1783598303506661.944	,1783598303506661.263	,27.110	,26.429	,3332.50146484375,9626.0,3332.50146484375,3332.5009765625,9626.0,3332.5009765625,61,NPU:3
aten::empty_like,393216.0,1783598303506872.069	,1783598303573815.493	,1783598303573815.112	,66943.424	,66943.043	,3716.5009765625,9626.0,3716.5009765625,2826.5009765625,9626.0,2826.5009765625,61,NPU:3
aten::zero_,0.5,1783598303506902.625	,1783598303506933.792	,1783598303506932.951	,31.167	,30.326	,3716.50146484375,9626.0,3716.50146484375,3716.5009765625,9626.0,3716.5009765625,61,NPU:3
aten::zeros,6144.0,1783598303507000.382	,1783598303507217.828	,1783598303507217.267	,217.446	,216.885	,3722.5009765625,9626.0,3722.5009765625,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
aten::zero_,0.5,1783598303507027.042	,1783598303507056.716	,1783598303507056.176	,29.674	,29.134	,3722.50146484375,9626.0,3722.50146484375,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
