Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
PTA+GE,1783598303374253.765	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
PTA,1783598303374254.316	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
PTA+GE,1783598303374254.316	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
PTA,1783598303374332.092	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA+GE,1783598303374332.092	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA,1783598303374361.316	,6788.50439453125,9626.0,6788.50439453125,61,NPU:3
PTA+GE,1783598303374361.316	,6788.50439453125,9626.0,6788.50439453125,61,NPU:3
PTA,1783598303374388.086	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA+GE,1783598303374388.086	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA,1783598303374388.607	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA+GE,1783598303374388.607	,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
PTA,1783598303374391.461	,3716.501953125,9626.0,3716.501953125,61,NPU:3
PTA+GE,1783598303374391.461	,3716.501953125,9626.0,3716.501953125,61,NPU:3
PTA,1783598303374392.272	,3716.501953125,9626.0,3716.501953125,61,NPU:3
PTA+GE,1783598303374392.272	,3716.501953125,9626.0,3716.501953125,61,NPU:3
PTA,1783598303374394.726	,3332.501953125,9626.0,3332.501953125,61,NPU:3
PTA+GE,1783598303374394.726	,3332.501953125,9626.0,3332.501953125,61,NPU:3
PTA,1783598303374395.397	,3332.501953125,9626.0,3332.501953125,61,NPU:3
PTA+GE,1783598303374395.397	,3332.501953125,9626.0,3332.501953125,61,NPU:3
PTA,1783598303374396.899	,3204.501953125,9626.0,3204.501953125,61,NPU:3
PTA+GE,1783598303374396.899	,3204.501953125,9626.0,3204.501953125,61,NPU:3
PTA,1783598303374397.560	,3204.501953125,9626.0,3204.501953125,61,NPU:3
PTA+GE,1783598303374397.560	,3204.501953125,9626.0,3204.501953125,61,NPU:3
PTA,1783598303374399.683	,3076.501953125,9626.0,3076.501953125,61,NPU:3
PTA+GE,1783598303374399.683	,3076.501953125,9626.0,3076.501953125,61,NPU:3
PTA,1783598303374400.475	,3076.501953125,9626.0,3076.501953125,61,NPU:3
PTA+GE,1783598303374400.475	,3076.501953125,9626.0,3076.501953125,61,NPU:3
PTA,1783598303374402.287	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303374402.287	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303374402.808	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303374402.808	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303374404.971	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA+GE,1783598303374404.971	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA,1783598303374405.772	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
